tp_pct,sl_pct,symbols_passed,symbols_tested,pass_rate,avg_return,total_trades
2.0,10.0,5,9,55.6,14.59,275
2.0,12.0,4,9,44.4,10.99,274
2.0,15.0,4,9,44.4,8.3,270
2.0,18.0,5,9,55.6,5.41,264
2.0,20.0,5,9,55.6,6.37,260
3.0,10.0,8,9,88.9,18.18,225
3.0,12.0,7,9,77.8,18.0,224
3.0,15.0,7,9,77.8,14.89,220
3.0,18.0,5,9,55.6,10.33,215
3.0,20.0,6,9,66.7,13.06,210
4.0,10.0,6,9,66.7,27.59,194
4.0,12.0,7,9,77.8,27.53,192
4.0,15.0,7,9,77.8,22.05,189
4.0,18.0,6,9,66.7,19.0,184
4.0,20.0,7,9,77.8,18.99,181
5.0,10.0,7,9,77.8,30.19,169
5.0,12.0,6,9,66.7,25.92,167
5.0,15.0,6,9,66.7,26.35,160
5.0,18.0,8,9,88.9,23.08,158
5.0,20.0,7,9,77.8,22.27,153
